iter	Passed	Remaining
0	55	55549
1	95	47674
2	188	62560
3	264	65970
4	397	79086
5	470	77987
6	507	71952
7	571	70904
8	700	77106
9	909	90074
10	1018	91566
11	1137	93639
12	1243	94406
13	1356	95553
14	1578	103655
15	1786	109850
16	1921	111089
17	2019	110198
18	2093	108080
19	2148	105262
20	2250	104927
21	2329	103558
22	2421	102852
23	2507	101973
24	2626	102415
25	2702	101241
26	2778	100124
27	2862	99386
28	2949	98751
29	3046	98511
30	3141	98210
31	3217	97342
32	3313	97097
33	3404	96718
34	3468	95626
35	3567	95517
36	3689	96017
37	3789	95943
38	3879	95588
39	3972	95330
40	4164	97403
41	4401	100391
42	4586	102087
43	4805	104399
44	5101	108272
45	5318	110304
46	5539	112331
47	5659	112246
48	5786	112299
49	5941	112893
50	6056	112692
51	6155	112213
52	6300	112572
53	6444	112902
54	6611	113593
55	6766	114064
56	6891	114010
57	6979	113354
58	7078	112899
59	7175	112423
60	7316	112620
61	7436	112514
62	7563	112495
63	7704	112673
64	7832	112674
65	7956	112601
66	8011	111556
67	8135	111501
68	8242	111213
69	8340	110808
70	8456	110651
71	8574	110515
72	8748	111093
73	8847	110715
74	8947	110354
75	9035	109857
76	9171	109935
77	9273	109618
78	9368	109220
79	9430	108446
80	9535	108183
81	9678	108349
82	9789	108158
83	9850	107418
84	9907	106646
85	10000	106286
86	10092	105914
87	10191	105623
88	10276	105192
89	10387	105032
90	10460	104485
91	10561	104240
92	10637	103746
93	10706	103193
94	10778	102678
95	10870	102365
96	10952	101960
97	11018	101418
98	11055	100613
99	11149	100342
100	11242	100065
101	11319	99656
102	11409	99364
103	11511	99175
104	11593	98820
105	11698	98662
106	11769	98221
107	11869	98035
108	11967	97824
109	12053	97526
110	12149	97309
111	12243	97070
112	12342	96881
113	12438	96668
114	12521	96363
115	12625	96213
116	12707	95902
117	12806	95726
118	12972	96037
119	13065	95813
120	13162	95615
121	13255	95394
122	13385	95438
123	13505	95408
124	13623	95365
125	13735	95275
126	13833	95091
127	13923	94853
128	14041	94808
129	14206	95076
130	14361	95265
131	14502	95362
132	14638	95428
133	14805	95680
134	14910	95538
135	15064	95702
136	15215	95847
137	15357	95931
138	15506	96052
139	15640	96074
140	15795	96231
141	15918	96184
142	16058	96240
143	16197	96287
144	16322	96248
145	16507	96557
146	16641	96565
147	16779	96594
148	16919	96632
149	17064	96696
150	17181	96604
151	17274	96375
152	17425	96464
153	17552	96427
154	17639	96161
155	17742	95990
156	17834	95759
157	17921	95505
158	18027	95352
159	18124	95153
160	18225	94976
161	18330	94823
162	18425	94614
163	18531	94463
164	18629	94275
165	18722	94064
166	18811	93830
167	18898	93594
168	18989	93375
169	19087	93191
170	19175	92963
171	19271	92774
172	19377	92630
173	19479	92469
174	19573	92276
175	19659	92044
176	19760	91882
177	19848	91658
178	19945	91483
179	20041	91301
180	20132	91096
181	20230	90927
182	20321	90725
183	20411	90521
184	20507	90345
185	20609	90192
186	20693	89967
187	20797	89825
188	20891	89645
189	20996	89511
190	21083	89303
191	21187	89163
192	21289	89019
193	21387	88856
194	21499	88755
195	21583	88536
196	21682	88380
197	21807	88329
198	21895	88132
199	21993	87973
200	22084	87789
201	22195	87683
202	22283	87489
203	22381	87333
204	22482	87188
205	22570	86996
206	22661	86814
207	22758	86656
208	22847	86469
209	22939	86298
210	23025	86098
211	23123	85950
212	23215	85777
213	23307	85606
214	23406	85460
215	23504	85311
216	23591	85124
217	23694	84994
218	23786	84827
219	23880	84666
220	23977	84519
221	24069	84352
222	24156	84169
223	24238	83967
224	24343	83848
225	24444	83716
226	24536	83552
227	24633	83408
228	24727	83254
229	24820	83096
230	24919	82956
231	25012	82800
232	25112	82664
233	25213	82536
234	25318	82421
235	25427	82315
236	25508	82123
237	25604	81976
238	25694	81813
239	25783	81648
240	25886	81527
241	25987	81399
242	26084	81258
243	26182	81123
244	26283	80995
245	26375	80841
246	26468	80690
247	26554	80519
248	26646	80368
249	26746	80239
250	26838	80089
251	26937	79957
252	27060	79898
253	27164	79781
254	27307	79781
255	27496	79910
256	27614	79834
257	27704	79676
258	27800	79538
259	27899	79407
260	28000	79280
261	28114	79193
262	28231	79112
263	28333	78990
264	28423	78835
265	28519	78696
266	28611	78548
267	28705	78403
268	28802	78268
269	28903	78146
270	29003	78019
271	29101	77888
272	29200	77761
273	29291	77610
274	29382	77462
275	29471	77309
276	29569	77178
277	29666	77048
278	29766	76924
279	29858	76778
280	29969	76682
281	30060	76535
282	30156	76404
283	30251	76269
284	30349	76140
285	30436	75984
286	30526	75837
287	30616	75690
288	30711	75555
289	30802	75414
290	30889	75259
291	30986	75131
292	31074	74982
293	31154	74813
294	31249	74681
295	31349	74561
296	31435	74408
297	31523	74259
298	31617	74127
299	31709	73988
300	31796	73839
301	31882	73689
302	31971	73545
303	32055	73389
304	32152	73266
305	32244	73128
306	32342	73006
307	32446	72899
308	32534	72755
309	32632	72634
310	32715	72478
311	32812	72355
312	32900	72212
313	32998	72091
314	33082	71940
315	33182	71825
316	33272	71688
317	33375	71579
318	33460	71432
319	33561	71317
320	33651	71181
321	33729	71021
322	33825	70897
323	33922	70777
324	34006	70628
325	34102	70507
326	34206	70400
327	34308	70290
328	34402	70164
329	34490	70026
330	34592	69917
331	34688	69794
332	34778	69662
333	34868	69528
334	34961	69400
335	35061	69289
336	35160	69174
337	35257	69054
338	35373	68972
339	35479	68871
340	35578	68757
341	35671	68630
342	35761	68500
343	35851	68367
344	35946	68245
